Trial,Subject,Color,Stimulus,Area of Interest,AOI Group,AOI Scope,AOI Order,AOI Size [px],AOI Coverage [%],Start Time [ms],End Time [ms],Entry Time [ms],Sequence,Net Dwell Time [ms],Dwell Time [ms],Glance Duration [ms],Diversion Duration [ms],First Fixation Duration [ms],Glances Count,Revisits,Fixation Count,Appearance Count,Visible Time [ms],Visible Time [%],Net Dwell Time [%],Dwell Time [%],Fixation Time [ms],Fixation Time [%],Time to First Mouse Click [ms]
Trial007,P13,CornflowerBlue,rh.avi,speaker 2,,Local,1,259346,12.5,0,110936,49443.1,212,756.6,692,692,692,232,1,0,4,1,32006,28.9,0.7,0.6,523.1,0.5,-
Trial007,P13,CornflowerBlue,rh.avi,speaker 1,,Local,2,248043,12,0,110936,42820.2,197,1183,907.8,1184.3,1475.1,220,5,4,6,1,32006,28.9,1.1,0.8,868,0.8,-
Trial007,P13,CornflowerBlue,rh.avi,brown toy,,Local,3,126681,6.1,0,110936,799.2,47,5664.6,4846.9,5271.7,5630.8,96,10,9,14,1,39216,35.3,5.1,4.4,4606.6,4.2,-
Trial007,P13,CornflowerBlue,rh.avi,green toy,,Local,4,93726,4.5,0,110936,523.2,34,472.1,400,492.1,556.1,212,2,1,2,1,39216,35.3,0.4,0.4,400,0.4,-
Trial007,P13,CornflowerBlue,rh.avi,leg 1,,Local,5,39328,1.9,0,110936,2998.8,63,4307.4,4693.5,5020.7,5671.3,232,15,14,15,3,101893,91.8,3.9,4.2,4693.5,4.2,-
Trial007,P13,CornflowerBlue,rh.avi,leg 2,,Local,6,32105,1.5,0,110936,4994.6,83,10761.7,10020.6,10946.5,11970.8,175.8,24,23,30,3,101893,91.8,9.7,9,9824.6,8.9,-
Trial007,P13,CornflowerBlue,rh.avi,hand 2,,Local,7,17196,0.8,0,110936,59465.4,225,2974.8,2377.3,2545.5,2707.9,284.7,5,4,7,3,101893,91.8,2.7,2.1,2262.7,2,-
Trial007,P13,CornflowerBlue,rh.avi,arm 2,,Local,8,14044,0.7,0,110936,34441.9,184,1324.2,1167.4,1243.5,1423.6,503.7,4,3,4,3,101893,91.8,1.2,1.1,1167.4,1.1,-
Trial007,P13,CornflowerBlue,rh.avi,hand 1,,Local,9,16891,0.8,0,110936,28427.7,171,2695.6,2147.2,2455.6,2695.6,207,7,6,8,3,101893,91.8,2.4,1.9,2121.5,1.9,-
Trial007,P13,CornflowerBlue,rh.avi,arm 1,,Local,10,15076,0.7,0,110936,-,-,199.4,0,109,109,0,0,-,0,3,101893,91.8,0.2,0,0,0,-
Trial007,P13,CornflowerBlue,rh.avi,head,,Local,11,29274,1.4,0,110936,5694.4,86,28683.3,30273,31240.4,32765,80,37,36,49,3,101893,91.8,25.9,27.3,29942.5,27,-
Trial007,P13,CornflowerBlue,rh.avi,torso,,Local,12,21715,1,0,110936,3.8,4,25346.3,20397.1,22564.3,23941.4,459.4,40,39,46,3,101893,91.8,22.8,18.4,19984.7,18,-
Trial005,P14,Crimson,hh.avi,speaker 2,,Local,1,37128,1.8,0,65107,21882.3,144,1615.3,1495.4,1619.6,1819.6,151.8,4,3,4,1,13786,21.2,2.5,2.3,1495.4,2.3,-
Trial005,P14,Crimson,hh.avi,speaker 1,,Local,2,39240,1.9,0,65107,20282.4,136,4876.5,4628,4881.3,5185.1,113.8,7,6,10,1,13786,21.2,7.5,7.1,4601.8,7.1,-
Trial005,P14,Crimson,hh.avi,brown toy,,Local,3,16048,0.8,0,65107,786.8,45,2138.3,1871.2,2051.1,2295.8,130.6,5,4,9,1,16590,25.5,3.3,2.9,1799.1,2.8,-
Trial005,P14,Crimson,hh.avi,green toy,,Local,4,7876,0.4,0,65107,3337.2,65,1228.5,1447.2,1582.5,1734.7,232,4,3,4,1,16590,25.5,1.9,2.2,1447.2,2.2,-
Trial005,P14,Crimson,hh.avi,leg 1,,Local,5,22568,1.1,0,65107,7928.5,98,474.3,367.9,427.9,427.9,367.9,1,0,1,4,58516,89.9,0.7,0.6,367.9,0.6,-
Trial005,P14,Crimson,hh.avi,leg 2,,Local,6,19490,0.9,0,65107,41790.8,193,851.8,1267.8,1324.7,1400.7,376,2,1,4,4,54610,83.9,1.3,1.9,1267.8,1.9,-
Trial005,P14,Crimson,hh.avi,arm 1,,Local,7,4772,0.2,0,65107,-,-,37,0,0,0,0,0,-,0,5,52607,80.8,0.1,0,0,0,-
Trial005,P14,Crimson,hh.avi,hand 1,,Local,8,5887,0.3,0,65107,-,-,468.8,0,28,28,0,0,-,0,4,58516,89.9,0.7,0,0,0,-
Trial005,P14,Crimson,hh.avi,hand 2,,Local,9,6087,0.3,0,65107,31088.6,178,2192.4,448.1,487.8,523.6,172.2,2,1,2,3,55778,85.7,3.4,0.7,448.1,0.7,-
Trial005,P14,Crimson,hh.avi,arm 2,,Local,10,5006,0.2,0,65107,11991.8,115,833.9,799.9,839.9,864,128,3,2,3,7,52541,80.7,1.3,1.2,771.9,1.2,-
Trial005,P14,Crimson,hh.avi,torso,,Local,11,13014,0.6,0,65107,289.7,22,5990.3,4542.8,5016.5,5313.1,108,11,10,15,4,58749,90.2,9.2,7,4486.7,6.9,-
Trial005,P14,Crimson,hh.avi,head,,Local,12,9975,0.5,0,65107,1101.8,50,17306.8,18996.6,19487.4,20154.6,171.8,16,15,18,4,58749,90.2,26.6,29.2,18996.6,29.2,-
Trial006,P14,Crimson,rh.avi,speaker 2,,Local,1,259346,12.5,0,110994,48977.2,210,764,680,720,792,227.9,1,0,3,1,32006,28.8,0.7,0.6,526.8,0.5,-
Trial006,P14,Crimson,rh.avi,speaker 1,,Local,2,248043,12,0,110994,42798.2,196,4192,3918.8,4293.3,4629.8,265.8,8,7,11,1,32006,28.8,3.8,3.5,3739,3.4,-
