"","p_id","aoi","cond1","time","cond","age","gender","familiarity","ownARobo","ICA","manipulation","AAP","ica"
"61","P03","head","human",0.0766769638128861,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"62","P03","head","robot",0.229656236173246,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"63","P03","leg 1","human",0.0132850159549189,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"64","P03","leg 1","robot",0.0164384740179932,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"65","P03","leg 2","human",0.0184354154032747,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"66","P03","leg 2","robot",0.134548141684283,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"67","P03","speaker 1","human",0.248237342231249,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"68","P03","speaker 1","robot",0.0491474462033144,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"69","P03","speaker 2","human",0.0272450311910634,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"70","P03","speaker 2","robot",0.00757482067771457,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"71","P03","torso","human",0.144675470160907,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"72","P03","torso","robot",0.273755899414975,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"73","P04","arm 1","human",0.13800495620884,"low",21,"m",1,1,1,0,1,"MEDIUM"
"74","P04","arm 1","robot",0.0115038592006293,"low",21,"m",1,1,1,0,1,"MEDIUM"
"75","P04","arm 2","human",0.00720856813089823,"low",21,"m",1,1,1,0,1,"MEDIUM"
"76","P04","arm 2","robot",0.00652161889779264,"low",21,"m",1,1,1,0,1,"MEDIUM"
"77","P04","brown toy","human",0.128577456298975,"low",21,"m",1,1,1,0,1,"MEDIUM"
"78","P04","brown toy","robot",0.218869849041208,"low",21,"m",1,1,1,0,1,"MEDIUM"
"79","P04","green toy","human",0,"low",21,"m",1,1,1,0,1,"MEDIUM"
"80","P04","green toy","robot",0.00469451244390045,"low",21,"m",1,1,1,0,1,"MEDIUM"
"81","P04","hand 1","human",0.0488780636838889,"low",21,"m",1,1,1,0,1,"MEDIUM"
"82","P04","hand 1","robot",0.0528320264490438,"low",21,"m",1,1,1,0,1,"MEDIUM"
"83","P04","hand 2","human",0.016610088940186,"low",21,"m",1,1,1,0,1,"MEDIUM"
"84","P04","hand 2","robot",0.0145534265768645,"low",21,"m",1,1,1,0,1,"MEDIUM"
"85","P04","head","human",0.0306079842487609,"low",21,"m",1,1,1,0,1,"MEDIUM"
"86","P04","head","robot",0.20408595939236,"low",21,"m",1,1,1,0,1,"MEDIUM"
"87","P04","leg 1","human",0.0856880983094575,"low",21,"m",1,1,1,0,1,"MEDIUM"
"88","P04","leg 1","robot",0.146812472346492,"low",21,"m",1,1,1,0,1,"MEDIUM"
"89","P04","leg 2","human",0.00927835051546392,"low",21,"m",1,1,1,0,1,"MEDIUM"
"90","P04","leg 2","robot",0.0624431566786294,"low",21,"m",1,1,1,0,1,"MEDIUM"
"91","P04","speaker 1","human",0.142441607427825,"low",21,"m",1,1,1,0,1,"MEDIUM"
"92","P04","speaker 1","robot",0.0263843371258966,"low",21,"m",1,1,1,0,1,"MEDIUM"
"93","P04","speaker 2","human",0.0322646162773829,"low",21,"m",1,1,1,0,1,"MEDIUM"
"94","P04","speaker 2","robot",0.000158452881523621,"low",21,"m",1,1,1,0,1,"MEDIUM"
"95","P04","torso","human",0.159545794011813,"low",21,"m",1,1,1,0,1,"MEDIUM"
"96","P04","torso","robot",0.235758443537683,"low",21,"m",1,1,1,0,1,"MEDIUM"
"97","P05","arm 1","human",0.00590841197637314,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"98","P05","arm 1","robot",0.000493154220539796,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"99","P05","arm 2","human",0.00597800257994433,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"100","P05","arm 2","robot",0.00510668108745883,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"101","P05","brown toy","human",0.218890898131404,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"102","P05","brown toy","robot",0.185238168094655,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"103","P05","green toy","human",0.0566365280289331,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"104","P05","green toy","robot",0.010406466748266,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"105","P05","hand 1","human",0.0253089143865843,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"106","P05","hand 1","robot",0.0282603485571014,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"107","P05","hand 2","human",0.0591621970262747,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"108","P05","hand 2","robot",0.0268070030971929,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"109","P05","head","human",0.397068707991038,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"110","P05","head","robot",0.485480372154761,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"111","P05","leg 1","human",0.0244161178627198,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"112","P05","leg 1","robot",0.021706467233666,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"113","P05","leg 2","human",0.0102001212856277,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"114","P05","leg 2","robot",0.0699126763679268,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"115","P05","speaker 1","human",0.0942695488176411,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"116","P05","speaker 1","robot",0.0568807197625526,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"117","P05","speaker 2","human",0.0429348614536486,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"118","P05","speaker 2","robot",0.0142916769725451,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"119","P05","torso","human",0.0859019621155543,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"120","P05","torso","robot",0.100558908116612,"low",22,"m",1,1,0,0,-2,"MEDIUM"
"121","P06","arm 1","human",5.77092810102519e-05,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"122","P06","arm 1","robot",0.00145795437785753,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"123","P06","arm 2","human",0.0210010862923484,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"124","P06","arm 2","robot",0.0866568752765351,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"125","P06","brown toy","human",0.10620253164557,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"126","P06","brown toy","robot",0.219616993064055,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"127","P06","green toy","human",0.0118143459915612,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"128","P06","green toy","robot",0,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"129","P06","hand 1","human",0.0217071763188268,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"130","P06","hand 1","robot",0.100242429084116,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"131","P06","hand 2","human",0.0435840858170955,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"132","P06","hand 2","robot",0.00154706012487095,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"133","P06","head","human",0.107631203747709,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
